word, meaning, partOfSpeech
ingest, serve oneself to or consume regularly, verb
hydrolize, make a compound react with water and undergo hydrolysis, verb
transmogrify, change completely the nature or appearance of, verb
extradite, hand over to the authorities of another country, verb
unroll, reverse the winding or twisting of, verb
designate, assign a name or title to, verb
slung, hurl as if with a sling, verb
radiate, send out rays or waves, verb
polemize, engage in a controversy, verb
unpining, remove the pins from; unfasten the pins of, verb
select, pick out or select or choose from a number of alternatives, verb
concede, admit (to a wrongdoing), verb
receive, get something; come into possession of, verb
trapes, place in a confining or embarrassing position, verb
elicit, call forth (emotions and feelings and responses), verb
squabbling, argue over petty things, verb
corbeling, furnish with a corbel, verb
misrepresent, represent falsely, verb
encase, enclose in or as if in a case, verb
elute, wash out with a solvent as in chromatography, verb
pouring, cause to run, verb
hinder, be a hindrance or obstacle to, verb
incinerate, become reduced to ashes, verb
thank, express gratitude or show appreciation to, verb
remember, recall knowledge from memory; have a recollection, verb
extol, praise or glorify or honor, verb
locked, fasten with a lock, verb
interrelated, be in a relationship with, verb
disclose, make known to the public information that was previously known only to a few people or that was meant to be kept a secret, verb
immingle, combine into one, verb
gainsay, take exception to, verb
abominate, find repugnant, verb
subtend, be opposite to; of angles and sides in geometry, verb
overdraw, draw more money from than is available, verb
recombine, undergo genetic recombination, verb
destain, remove stain from (a laboratory specimen) to enhance contrast, verb
secrete, generate and separate from cells or bodily fluids, verb
maltreat, treat badly, verb
shatter, break into many pieces, verb
bewitch, attract; cause to be enamored, verb
wove, interlace by or as if by weaving, verb
lose, fail to keep or to maintain; cease to have either physically or in an abstract sense, verb
alleviate, provide physical relief as from pain, verb
footed, pay for something, verb
hurtless, move with or as if with a rushing sound, verb
incubate, grow under conditions that promote development, verb
enlarged, make larger, verb
innervate, supply nerves to (some organ or body part), verb
unstrain, cause to feel relaxed, verb
unstrung, remove the strings from, verb
silting, become chocked with silt, verb
intubate, introduce a cannula or tube into, verb
comminate, curse or declare to be evil or anathema or threaten with divine punishment, verb
befall, become of; happen to, verb
appropriate, give or assign a resource to a particular person or cause, verb
obturate, block passage through, verb
condescend, behave in a patronizing and condescending manner, verb
hygienize, make sanitary by cleaning or sterilizing, verb
adolesce, become adolescent; pass through adolescence, verb
constricted, squeeze or press together, verb
avulse, separate by avulsion, verb
dilapidate, bring into a condition of decay or partial ruin by neglect or misuse, verb
reefing, lower and bring partially inboard, verb
despairing, abandon hope; give up hope; lose heart, verb
disconcert, cause to feel embarrassment, verb
puddled, wade or dabble in a puddle, verb
crazed, cause to go crazy; cause to lose one's mind, verb
slosh, make a splashing sound, verb
interact, act together or towards others or with others, verb
armed, prepare oneself for a military confrontation, verb
underspend, spend less than the whole of (a budget for example), verb
decompose, separate (substances) into constituent elements or parts, verb
sanding, rub with sandpaper, verb
dealt, act on verbally or in some form of artistic expression, verb
dispense, administer or bestow as in small portions, verb
prepared, make ready or suitable or equip in advance for a particular purpose or for some use or event etc, verb
uprisen, come into existence; take on form or shape, verb
induce, cause to arise, verb
apotheosize, deify or glorify, verb
yoking, become joined or linked together, verb
buffed, strike or beat repeatedly, verb
pilfering, make off with belongings of others, verb
secluding, keep away from others, verb
outguess, attempt to anticipate or predict, verb
argue, present reasons and arguments, verb
reduce, cut down on; make a reduction in, verb
rumpless, disturb the smoothness of, verb
obliterate, mark for deletion or rub off or erase, verb
cutinize, convert into cutin, verb
prettify, make more beautiful, verb
staggering, walk as if unable to control one's movements, verb
enlivening, heighten or intensify, verb
astringe, constrict or bind or draw together, verb
circumambulate, walk around something, verb
aggravating, make worse, verb
ballasting, make steady with a ballast, verb
accredit, grant credentials to, verb
booting, kick; give a boot to, verb
tend, have a tendency or disposition to do or be something; be inclined, verb
striated, mark with striae or striations, verb
forgot, dismiss from the mind; stop remembering, verb
thriven, grow vigorously, verb
rob, take something away by force or without the consent of the owner, verb
recurve, curve or bend (something) back or down, verb
handed, place into the hands or custody of, verb
foreclose, keep from happening or arising; make impossible, verb
distorted, make false by mutilation or addition; as of a message or story, verb
bromate, react with bromine, verb
stargaze, observe the stars, verb
lustrate, purify by means of a ritual; also used in post-Communist countries to refer to the political cleansing of former officials, verb
cavort, play boisterously, verb
anathemize, wish harm upon; invoke evil upon, verb
contort, twist and press out of shape, verb
lain, be located or situated somewhere; occupy a certain position, verb
reduplicate, form by reduplication, verb
mushed, drive (a team of dogs or a dogsled), verb
conspiring, engage in plotting or enter into a conspiracy or swear together, verb
bolshevize, make Communist or bring in accord with Communist principles, verb
